Date : 2024-03-24 03:11:18
Directory : c:\Users\Modather\FlutterProjects\money_manager
Total : 55 files,  1791 codes, 441 comments, 263 blanks, all 2495 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         29 |      1,247 |        340 |        192 |      1,779 |
| JSON       |          4 |        245 |          0 |          2 |        247 |
| XML        |         10 |        126 |         48 |         11 |        185 |
| Groovy     |          3 |         99 |          7 |         24 |        130 |
| YAML       |          2 |         38 |         44 |         19 |        101 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| Markdown   |          2 |          8 |          0 |          6 |         14 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |         55 |      1,791 |        441 |        263 |      2,495 |
| . (Files)                                                                                                     |          3 |         43 |         44 |         23 |        110 |
| android                                                                                                       |         14 |        256 |         53 |         35 |        344 |
| android (Files)                                                                                               |          3 |         47 |          0 |         11 |         58 |
| android\app                                                                                                   |         10 |        204 |         53 |         23 |        280 |
| android\app (Files)                                                                                           |          2 |        139 |          7 |         14 |        160 |
| android\app\src                                                                                               |          8 |         65 |         46 |          9 |        120 |
| android\app\src\debug                                                                                         |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                          |          6 |         59 |         38 |          7 |        104 |
| android\app\src\main (Files)                                                                                  |          1 |         28 |          6 |          1 |         35 |
| android\app\src\main\res                                                                                      |          5 |         31 |         32 |          6 |         69 |
| android\app\src\main\res\drawable                                                                             |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                         |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\mipmap-anydpi-v26                                                                    |          1 |          5 |          0 |          0 |          5 |
| android\app\src\main\res\values                                                                               |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                         |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                       |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                        |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                           |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                                    |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                            |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                               |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                    |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                 |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                               |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                         |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                           |         29 |      1,249 |        330 |        186 |      1,765 |
| lib (Files)                                                                                                   |          1 |         40 |          0 |          6 |         46 |
| lib\bloc                                                                                                      |          2 |         38 |          1 |         11 |         50 |
| lib\firebase                                                                                                  |          4 |        251 |          5 |         42 |        298 |
| lib\models                                                                                                    |          3 |        115 |          3 |         15 |        133 |
| lib\models (Files)                                                                                            |          2 |         99 |          3 |         15 |        117 |
| lib\models\json                                                                                               |          1 |         16 |          0 |          0 |         16 |
| lib\screens                                                                                                   |         13 |        608 |        316 |         81 |      1,005 |
| lib\screens (Files)                                                                                           |          5 |        384 |          5 |         39 |        428 |
| lib\screens\widgets                                                                                           |          8 |        224 |        311 |         42 |        577 |
| lib\service                                                                                                   |          3 |        135 |          4 |         22 |        161 |
| lib\tools                                                                                                     |          3 |         62 |          1 |          9 |         72 |
| test                                                                                                          |          1 |         14 |         10 |          6 |         30 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                      | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Modather\FlutterProjects\money_manager\README.md                                                     | Markdown   |          5 |          0 |          4 |          9 |
| c:\Users\Modather\FlutterProjects\money_manager\analysis_options.yaml                                         | YAML       |          3 |         23 |          4 |         30 |
| c:\Users\Modather\FlutterProjects\money_manager\android\app\build.gradle                                      | Groovy     |         55 |          7 |         14 |         76 |
| c:\Users\Modather\FlutterProjects\money_manager\android\app\google-services.json                              | JSON       |         84 |          0 |          0 |         84 |
| c:\Users\Modather\FlutterProjects\money_manager\android\app\src\debug\AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
| c:\Users\Modather\FlutterProjects\money_manager\android\app\src\main\AndroidManifest.xml                      | XML        |         28 |          6 |          1 |         35 |
| c:\Users\Modather\FlutterProjects\money_manager\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Modather\FlutterProjects\money_manager\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Modather\FlutterProjects\money_manager\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml    | XML        |          5 |          0 |          0 |          5 |
| c:\Users\Modather\FlutterProjects\money_manager\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Modather\FlutterProjects\money_manager\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Modather\FlutterProjects\money_manager\android\app\src\profile\AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| c:\Users\Modather\FlutterProjects\money_manager\android\build.gradle                                          | Groovy     |         28 |          0 |          5 |         33 |
| c:\Users\Modather\FlutterProjects\money_manager\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\Users\Modather\FlutterProjects\money_manager\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| c:\Users\Modather\FlutterProjects\money_manager\android\settings.gradle                                       | Groovy     |         16 |          0 |          5 |         21 |
